source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,"RT @realDonaldTrump: As the phony Russian Witch Hunt continues, two groups are laughing at this excuse for a lost election taking hold, Dem…",,,0,TRUE,8.89216E+17
Twitter for iPhone,"As the phony Russian Witch Hunt continues, two groups are laughing at this excuse for a lost election taking hold, Democrats and Russians!",,,87621,FALSE,8.89216E+17
Media Studio,To every PATRIOT who will serve on the #USSGeraldRFord:??Keep the watch??????Protect her??????Defend her??????LOVE HER????Good Luck &amp; Godspeed! ,https://t.co/shcz5GQkCh,,111217,FALSE,8.88924E+17
Twitter for iPhone,"American steel &amp; American hands have constructed a 100,000 ton message to the world: American MIGHT IS SECOND TO NONE!#USSGeraldRFord #USA ",https://t.co/Pibf37Eybg,,56799,FALSE,8.88896E+17
Media Studio,A ship is only as good as the people who serve on it — and the AMERICAN SAILOR is the BEST in the world. @USNavy #USSGeraldRFord ,https://t.co/YmiTLXcCEh,,73092,FALSE,8.88842E+17
Twitter for iPhone,Join me live for the commissioning ceremony of the USS Gerald R. Ford!??,https://t.co/F78iOR64TW #USA ,https://t.co/PrVceEmPOB,46317,FALSE,8.88771E+17
Twitter for iPhone,"ObamaCare is dead and the Democrats are obstructionists, no ideas or votes, only obstruction. It is solely up to the 52 Republican Senators!",,,84103,FALSE,8.88736E+17
Twitter for iPhone,"The Republican Senators must step up to the plate and, after 7 years, vote to Repeal and Replace. Next, Tax Reform and Infrastructure. WIN!",,,86049,FALSE,8.88735E+17
Twitter for iPhone,"In all fairness to Anthony Scaramucci, he wanted to endorse me 1st, before the Republican Primaries started, but didn't think I was running!",,,58321,FALSE,8.88733E+17
Twitter for iPhone,"My son Donald openly gave his e-mails to the media &amp; authorities whereas Crooked Hillary Clinton deleted (&amp; acid washed) her 33,000 e-mails!",,,109944,FALSE,8.8873E+17
Twitter for iPhone,"...What about all of the Clinton ties to Russia, including Podesta Company, Uranium deal, Russian Reset, big dollar speeches etc.",,,87505,FALSE,8.88727E+17
